x,y,z,prediction
32,32,32,1
32,32,64,1
32,32,96,1
32,32,128,1
32,32,160,1
32,32,192,1
32,32,224,1
32,32,256,1
64,32,32,1
64,32,64,1
64,32,96,1
64,32,128,1
64,32,160,1
64,32,192,1
64,32,224,1
64,32,256,1
96,32,32,1
96,32,64,1
96,32,96,1
96,32,128,1
96,32,160,1
96,32,192,1
96,32,224,1
96,32,256,1
128,32,32,1
128,32,64,1
128,32,96,1
128,32,128,1
128,32,160,1
128,32,192,1
128,32,224,1
128,32,256,1
160,32,32,1
160,32,64,1
160,32,96,1
160,32,128,1
160,32,160,1
160,32,192,1
160,32,224,1
160,32,256,1
192,32,32,1
192,32,64,1
192,32,96,1
192,32,128,1
192,32,160,1
192,32,192,1
192,32,224,1
192,32,256,1
224,32,32,1
224,32,64,1
224,32,96,1
224,32,128,1
224,32,160,1
224,32,192,1
224,32,224,1
224,32,256,1
256,32,32,1
256,32,64,1
256,32,96,1
256,32,128,1
256,32,160,1
256,32,192,1
256,32,224,1
256,32,256,1
32,64,32,1
32,64,64,1
32,64,96,1
32,64,128,1
32,64,160,1
32,64,192,1
32,64,224,1
32,64,256,1
64,64,32,1
64,64,64,1
64,64,96,1
64,64,128,1
64,64,160,1
64,64,192,1
64,64,224,1
64,64,256,1
96,64,32,1
96,64,64,1
96,64,96,1
96,64,128,1
96,64,160,1
96,64,192,1
96,64,224,1
96,64,256,1
128,64,32,1
128,64,64,1
128,64,96,1
128,64,128,1
128,64,160,1
128,64,192,1
128,64,224,1
128,64,256,1
160,64,32,1
160,64,64,1
160,64,96,1
160,64,128,1
160,64,160,1
160,64,192,1
160,64,224,1
160,64,256,1
192,64,32,1
192,64,64,1
192,64,96,1
192,64,128,1
192,64,160,1
192,64,192,1
192,64,224,1
192,64,256,1
224,64,32,1
224,64,64,1
224,64,96,1
224,64,128,1
224,64,160,1
224,64,192,1
224,64,224,1
224,64,256,1
256,64,32,1
256,64,64,1
256,64,96,1
256,64,128,1
256,64,160,1
256,64,192,1
256,64,224,1
256,64,256,1
32,96,32,1
32,96,64,1
32,96,96,1
32,96,128,1
32,96,160,1
32,96,192,1
32,96,224,1
32,96,256,1
64,96,32,1
64,96,64,1
64,96,96,1
64,96,128,1
64,96,160,1
64,96,192,1
64,96,224,1
64,96,256,1
96,96,32,1
96,96,64,1
96,96,96,1
96,96,128,1
96,96,160,1
96,96,192,1
96,96,224,1
96,96,256,1
128,96,32,1
128,96,64,1
128,96,96,1
128,96,128,1
128,96,160,1
128,96,192,1
128,96,224,1
128,96,256,1
160,96,32,1
160,96,64,1
160,96,96,1
160,96,128,1
160,96,160,1
160,96,192,1
160,96,224,1
160,96,256,1
192,96,32,1
192,96,64,1
192,96,96,1
192,96,128,1
192,96,160,1
192,96,192,1
192,96,224,1
192,96,256,1
224,96,32,1
224,96,64,1
224,96,96,1
224,96,128,1
224,96,160,1
224,96,192,1
224,96,224,1
224,96,256,1
256,96,32,1
256,96,64,1
256,96,96,1
256,96,128,1
256,96,160,1
256,96,192,1
256,96,224,1
256,96,256,1
32,128,32,1
32,128,64,1
32,128,96,1
32,128,128,1
32,128,160,1
32,128,192,1
32,128,224,1
32,128,256,1
64,128,32,1
64,128,64,1
64,128,96,1
64,128,128,1
64,128,160,1
64,128,192,1
64,128,224,1
64,128,256,1
96,128,32,1
96,128,64,1
96,128,96,1
96,128,128,1
96,128,160,1
96,128,192,1
96,128,224,1
96,128,256,1
128,128,32,1
128,128,64,1
128,128,96,1
128,128,128,1
128,128,160,1
128,128,192,1
128,128,224,1
128,128,256,1
160,128,32,1
160,128,64,1
160,128,96,1
160,128,128,1
160,128,160,1
160,128,192,1
160,128,224,1
160,128,256,1
192,128,32,1
192,128,64,1
192,128,96,1
192,128,128,1
192,128,160,1
192,128,192,1
192,128,224,1
192,128,256,1
224,128,32,1
224,128,64,1
224,128,96,1
224,128,128,1
224,128,160,1
224,128,192,1
224,128,224,1
224,128,256,1
256,128,32,1
256,128,64,1
256,128,96,1
256,128,128,1
256,128,160,1
256,128,192,1
256,128,224,1
256,128,256,1
32,160,32,1
32,160,64,1
32,160,96,1
32,160,128,1
32,160,160,1
32,160,192,1
32,160,224,1
32,160,256,1
64,160,32,1
64,160,64,1
64,160,96,1
64,160,128,1
64,160,160,1
64,160,192,1
64,160,224,1
64,160,256,1
96,160,32,1
96,160,64,1
96,160,96,1
96,160,128,1
96,160,160,1
96,160,192,1
96,160,224,1
96,160,256,1
128,160,32,1
128,160,64,1
128,160,96,1
128,160,128,1
128,160,160,1
128,160,192,1
128,160,224,1
128,160,256,1
160,160,32,1
160,160,64,1
160,160,96,1
160,160,128,1
160,160,160,1
160,160,192,1
160,160,224,1
160,160,256,1
192,160,32,1
192,160,64,1
192,160,96,1
192,160,128,1
192,160,160,1
192,160,192,1
192,160,224,1
192,160,256,1
224,160,32,1
224,160,64,1
224,160,96,1
224,160,128,1
224,160,160,1
224,160,192,1
224,160,224,1
224,160,256,1
256,160,32,1
256,160,64,1
256,160,96,1
256,160,128,1
256,160,160,1
256,160,192,1
256,160,224,1
256,160,256,1
32,192,32,1
32,192,64,1
32,192,96,1
32,192,128,1
32,192,160,1
32,192,192,1
32,192,224,1
32,192,256,1
64,192,32,1
64,192,64,1
64,192,96,1
64,192,128,1
64,192,160,1
64,192,192,1
64,192,224,1
64,192,256,1
96,192,32,1
96,192,64,1
96,192,96,1
96,192,128,1
96,192,160,1
96,192,192,1
96,192,224,1
96,192,256,1
128,192,32,1
128,192,64,1
